Лабораторная работа №7
T = 298.150000 K, ΔT = 0.500000 K
R3 = 12.000000 Ом
Метод парных точек (n = 16 точек, 8 пар)
Угловой коэффициент tgα = a = 29.888040 ± 7.142010
Свободный член b = -16.889447 ± 2.678254
e/k = 8911.119085 ± 2129.396216 Кл/К

Таблица парных точек:
№	x1	x2	y1	y2	a_i
1	0.300000	0.450000	-8.862034	-3.862043	33.333271
2	0.310000	0.440000	-8.139899	-3.971242	32.066589
3	0.320000	0.430000	-7.520860	-4.081428	31.267558
4	0.330000	0.420000	-6.941657	-4.223884	30.197477
5	0.340000	0.410000	-6.491240	-4.429817	29.448901
6	0.350000	0.400000	-6.306175	-4.731111	31.501278
7	0.360000	0.390000	-5.776353	-4.887312	29.634703
8	0.370000	0.380000	-5.447204	-5.230659	21.654543
Среднее a = 29.888040,  Δa = 7.142010
